gate_width,fill_time,fill_time_sd,mean_entry,mean_queue,mean_throughput
1,182.33333333333334,7.133644853010899,102.10166666666666,94.29071097883597,1.8407343606691973
2,175.33333333333334,3.2998316455372216,99.02666666666667,95.09317062727467,1.8253469343545234
3,166.66666666666666,6.649979114420001,91.66666666666667,91.35250338041082,1.8472218723497158
4,166.66666666666666,2.494438257849294,91.39833333333334,91.14220295817415,1.8251322317562684
5,172,8.04155872120988,91.47,88.49416801326807,1.8295053463249182
