num_fans,smart_mean_entry,smart_fill,random_mean_entry,random_fill
100,80.53,138.66666666666666,66.18666666666667,113.33333333333333
150,87.60444444444445,159.66666666666666,79.30888888888889,139
200,94.055,174.33333333333334,86.435,153.33333333333334
250,102.46666666666667,191.66666666666666,96.528,176
300,112.63666666666667,199,103.12666666666667,190.33333333333334
